ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20210001380,20-01-2021,9.50.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,60,-38.431845,145.447373
T20210001630,15-01-2021,11.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.592104,145.580297
T20210001890,27-01-2021,10.00.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,40,-38.607263,145.591324
T20210002665,24-01-2021,13.00.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,999,-38.520706,145.368536
T20210003160,06-02-2021,15.45.00,Saturday,8,No collision and no object struck,3,Day,BASS COAST,T intersection,60,-38.410693,145.572312
T20210003914,22-02-2021,10.25.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.609522,145.589752
T20210004054,23-02-2021,14.15.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.334869,145.6184
T20210004963,06-03-2021,9.45.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.522968,145.409289
T20210005059,08-03-2021,0.20.00,Monday,6,Vehicle overturned (no collision),3,Dark Street lights on,BASS COAST,Not at intersection,60,-38.45233,145.242483
T20210005125,08-03-2021,16.30.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.604866,145.591317
T20210005170,06-03-2021,11.15.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.605783,145.593912
T20210005207,09-03-2021,11.04.00,Tuesday,2,Struck Pedestrian,2,Day,BASS COAST,Cross intersection,60,-38.407583,145.530382
T20210005599,13-03-2021,16.05.00,Saturday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.342852,145.644359
T20210005973,17-03-2021,8.20.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.521201,145.378273
T20210006046,18-03-2021,18.55.00,Thursday,6,Vehicle overturned (no collision),3,Dusk/Dawn,BASS COAST,Not at intersection,60,-38.4671,145.22017
T20210006294,21-03-2021,16.10.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.342592,145.641884
T20210006964,29-03-2021,3.13.00,Monday,6,Vehicle overturned (no collision),3,Dark No street lights,BASS COAST,Not at intersection,100,-38.469215,145.627507
T20210007207,31-03-2021,12.10.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.382162,145.552538
T20210007273,01-04-2021,10.47.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.567643,145.562667
T20210007443,03-04-2021,11.45.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,80,-38.496601,145.160436
T20210007759,07-04-2021,8.00.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,40,-38.52569,145.446751
T20210007794,07-04-2021,17.16.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.562407,145.527623
T20210007914,09-04-2021,9.20.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,60,-38.456157,145.245946
T20210008568,31-03-2021,11.51.00,Wednesday,2,Struck Pedestrian,2,Unk.,BASS COAST,Not at intersection,60,-38.45059,145.238979
T20210008701,19-04-2021,11.05.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,100,-38.595906,145.725846
T20210008822,20-04-2021,13.35.00,Tuesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.486961,145.647479
T20210008961,22-04-2021,10.37.00,Thursday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,888,-38.45517,145.238977
T20210009148,24-04-2021,15.10.00,Saturday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,50,-38.450286,145.238163
T20210009326,26-04-2021,15.40.00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,50,-38.616266,145.585855
T20210009708,01-05-2021,1.20.00,Saturday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,80,-38.531009,145.448985
T20210009948,02-05-2021,14.15.00,Sunday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,80,-38.413689,145.544346
T20210010205,06-05-2021,5.42.00,Thursday,6,Vehicle overturned (no collision),3,Dark No street lights,BASS COAST,Not at intersection,100,-38.468702,145.627186
T20210010866,14-05-2021,12.10.00,Friday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.509629,145.698245
T20210011434,21-05-2021,9.40.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.605156,145.588387
T20210011880,26-05-2021,12.55.00,Wednesday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,999,-38.52638,145.445021
T20210011897,23-04-2021,18.00.00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.524834,145.724635
T20210012060,28-05-2021,12.33.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.496687,145.257596
T20210012745,09-06-2021,7.05.00,Wednesday,2,Struck Pedestrian,3,Dusk/Dawn,BASS COAST,Not at intersection,60,-38.590695,145.584803
T20210013385,18-06-2021,17.44.00,Friday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,T intersection,60,-38.667593,145.621061
T20210013588,11-06-2021,17.20.00,Friday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,50,-38.452325,145.238981
T20210013678,22-06-2021,15.13.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,80,-38.625847,145.741119
T20210014089,27-06-2021,13.40.00,Sunday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,50,-38.593035,145.592244
T20210015264,11-07-2021,13.40.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.515645,145.359458
T20210016084,22-07-2021,9.00.00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,T intersection,999,-38.605738,145.58848
T20210016654,01-08-2021,0.02.00,Sunday,6,Vehicle overturned (no collision),3,Dark No street lights,BASS COAST,Not at intersection,100,-38.500821,145.466838
T20210016773,02-08-2021,14.00.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,80,-38.419141,145.463699
T20210017209,09-08-2021,10.20.00,Monday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,50,-38.63618,145.710587
T20210017880,28-06-2021,14.40.00,Monday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,100,-38.508115,145.45058
T20210018003,22-08-2021,18.38.00,Sunday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,60,-38.450285,145.238979
